,artist_id,artist,image,genres,popularity,link,followers
39,2hl0xAkS2AIRAu23TVMBG1,Kansas,https://i.scdn.co/image/ab6761610000e5ebfa179171957bcf8d13f4d113,"['album rock', 'art rock', 'classic rock', 'hard rock', 'heartland rock', 'mellow gold', 'progressive rock', 'rock', 'soft rock', 'symphonic rock']",69,https://api.spotify.com/v1/artists/2hl0xAkS2AIRAu23TVMBG1,1179168
40,0ZzYDST6Dib7iYd8hmcLcH,M2M,https://i.scdn.co/image/ed0762ab4575a1203983e24d2e2190c774ae0fcb,"['candy pop', 'dance pop', 'europop', 'girl group', 'norwegian pop', 'post-teen pop']",56,https://api.spotify.com/v1/artists/0ZzYDST6Dib7iYd8hmcLcH,347610
41,3bGXaFVQLASmDMdjjeJr8a,Montgomery Gentry,https://i.scdn.co/image/ab6761610000e5ebbdc3674c0d3e4e6559395460,"['contemporary country', 'country', 'country road', 'modern country rock', 'redneck']",62,https://api.spotify.com/v1/artists/3bGXaFVQLASmDMdjjeJr8a,1201313
42,0A7g2YbCA9FlyZvAG6VmKP,The LOX,https://i.scdn.co/image/ab6761610000e5ebdeaecca1879726b131fd71c9,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'hip pop', 'pop rap', 'rap']",58,https://api.spotify.com/v1/artists/0A7g2YbCA9FlyZvAG6VmKP,420351
43,6vYg01ZFt1nREsUDMDPUYX,The Record Company,https://i.scdn.co/image/ab6761610000e5eb62e39d02cc2d7def47123fec,"['la indie', 'modern alternative rock', 'modern blues', 'modern blues rock', 'modern hard rock', 'rock', 'roots rock']",53,https://api.spotify.com/v1/artists/6vYg01ZFt1nREsUDMDPUYX,91278
44,2jgPkn6LuUazBoBk6vvjh5,The Zombies,https://i.scdn.co/image/ab6761610000e5eb4bbeb54a562d3de858825979,"['baroque pop', 'brill building pop', 'british invasion', 'bubblegum pop', 'classic rock', 'folk rock', 'psychedelic rock', 'rock']",64,https://api.spotify.com/v1/artists/2jgPkn6LuUazBoBk6vvjh5,752843
45,6DgP9otnZw5z6daOntINxp,Joel Corry,https://i.scdn.co/image/ab6761610000e5eb8be519b6ea2286853efe9808,"['dance pop', 'edm', 'pop', 'pop dance', 'tropical house', 'uk dance']",81,https://api.spotify.com/v1/artists/6DgP9otnZw5z6daOntINxp,252234
46,26s8LSolLfCIY88ysQbIuT,Three 6 Mafia,https://i.scdn.co/image/ab6761610000e5eb09e864043ef6e2635ec18c96,"['crunk', 'dirty south rap', 'gangster rap', 'hip hop', 'memphis hip hop', 'pop rap', 'rap', 'southern hip hop', 'tennessee hip hop', 'trap']",70,https://api.spotify.com/v1/artists/26s8LSolLfCIY88ysQbIuT,985305
47,5SOL8Hz0JUmgBWHggBQ5Kz,Michael Peterson,https://i.scdn.co/image/b2f7f171f6f7f66c65e3f6ab97f1919a2c178c6d,"['country', 'country road']",42,https://api.spotify.com/v1/artists/5SOL8Hz0JUmgBWHggBQ5Kz,37119
48,6Dd3NScHWwnW6obMFbl1BH,Daya,https://i.scdn.co/image/ab6761610000e5eb1bd4d403a7428035b381a535,"['alt z', 'dance pop', 'edm', 'electropop', 'indie poptimism', 'pop', 'pop dance', 'post-teen pop', 'tropical house']",75,https://api.spotify.com/v1/artists/6Dd3NScHWwnW6obMFbl1BH,1348488
49,4gvjmrtzydbMpyJaXUtwvP,Addison Rae,https://i.scdn.co/image/ab6761610000e5eb3b28574d794a3407a0b42bff,"['dance pop', 'pop', 'social media pop']",54,https://api.spotify.com/v1/artists/4gvjmrtzydbMpyJaXUtwvP,220880
50,1Xfmvd48oOhEWkscWyEbh9,Lloyd,https://i.scdn.co/image/ab6761610000e5eb5de0901c4bcb8d0352b71c3f,"['dance pop', 'pop', 'pop rap', 'r&b', 'southern hip hop', 'urban contemporary']",72,https://api.spotify.com/v1/artists/1Xfmvd48oOhEWkscWyEbh9,1849673
51,4IVAbR2w4JJNJDDRFP3E83,6LACK,https://i.scdn.co/image/ab6761610000e5eb7a528fcb316c5b58d6be0511,"['alternative r&b', 'atl hip hop', 'hip hop', 'melodic rap', 'pop rap', 'r&b', 'rap', 'trap']",81,https://api.spotify.com/v1/artists/4IVAbR2w4JJNJDDRFP3E83,3369833
52,0CbeG1224FS58EUx4tPevZ,Timmy Trumpet,https://i.scdn.co/image/ab6761610000e5eb82ac9eee4c8a5f57412b4821,"['australian dance', 'big room', 'dance pop', 'edm', 'melbourne bounce', 'melbourne bounce international', 'pop dance']",76,https://api.spotify.com/v1/artists/0CbeG1224FS58EUx4tPevZ,868971
53,1eClJfHLoDI4rZe5HxzBFv,INXS,https://i.scdn.co/image/ab6761610000e5eb9bfd44c9bd2aae22edfd99bf,"['australian rock', 'dance rock', 'funk rock', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'rock', 'soft rock']",73,https://api.spotify.com/v1/artists/1eClJfHLoDI4rZe5HxzBFv,1986447
